name,lng,lat,1M5g_yonghushu,1M5g_zhuliubi,6M5g_yonghushu,6M5g_zhuliubi,9M5g_yonghushu,9M5g_zhuliubi,12M5g_yonghushu,12M5g_zhuliubi,归属区域名称
房山5G良乡田氏大厦Z26G,116.136283,39.732985,86,0.0858,322,0.198,568,0.3165,766,0.4946,北京良乡大学城
房山5G良乡北京公安局房山分局1ZM,116.130657,39.743203,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区1ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡北京理工大学北校区4ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡中国社会科学院2ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G良乡工商局1ZM,116.125872,39.729127,,,,,,,7,0.3195,北京良乡大学城
房山5G良乡北潞园东门1Z,116.128922,39.738837,354,0.2214,1564,0.3276,2542,0.5698,3258,0.8785,北京良乡大学城
房山5G良乡联通东关新村1Z,116.147251,39.730223,,,184,0.0994,319,0.1064,408,0.1908,北京良乡大学城
房山5G良乡睿府书香11号楼1Z,116.164531,39.722655,,,954,0.2615,1735,0.3962,2168,0.6448,北京良乡大学城
房山5G良乡北京理工大学5号宿舍楼A座1ZM,116.165591,39.735642,,,,,,,5,1,北京良乡大学城
房山5G良乡北京理工大学北校区9ZM,116.161848,39.731849,,,,,,,0,0,北京良乡大学城
房山5G良乡圣晖花园西1Z,116.126708,39.751082,,,,,,,0,0,北京良乡大学城
房山5G房山良乡中医药大学后勤楼1Z,116.165493,39.712345,46,0.0136,263,0.0771,394,0.1074,505,0.1752,北京良乡大学城
房山5G良乡圣星城1Z,116.130172,39.735223,472,0.2725,1813,0.3833,2753,0.5742,3485,0.8851,北京良乡大学城
房山5G良乡政通路招商大厦1Z,116.130363,39.745555,416,0.3106,2243,0.3572,3298,0.5958,4396,0.8655,北京良乡大学城
房山5G良乡政通路2号院1Z,116.138613,39.745823,,,,,3060,0.6118,3824,0.9144,北京良乡大学城
房山5G良乡北京理工大学实训楼4ZM,116.167761,39.724987,,,,,,,1,0.0125,北京良乡大学城
房山5G良乡中国社会科学院1ZM,116.172614,39.740101,,,,,,,0,0,北京良乡大学城
房山5G良乡蚕种厂1Z,116.135207,39.751487,523,0.3692,3018,0.4192,4526,0.6253,5802,0.9627,北京良乡大学城
房山5G良乡瑞城广场1Z,116.135401,39.728331,,,,,0,0,0,0,北京良乡大学城
房山5G长阳滨水公园1Z,116.182561,39.750375,1,0.1496,2,0.1646,3,0.2441,4,0.3971,北京良乡大学城
房山5G长阳世茂维拉小区对面1Z,116.172261,39.744252,,,1144,0.3631,1899,0.5661,2434,0.9292,北京良乡大学城
房山5G良乡交通局指挥中心1Z,116.107714,39.720863,,,,,1875,0.5292,2373,0.8696,北京良乡大学城
房山5G长阳镇1Z,116.170568,39.749975,357,0.0869,2351,0.2854,3701,0.5128,5001,0.7868,北京良乡大学城
房山5G良乡变压器厂1Z,116.149892,39.745922,100,0.0928,2,0.1178,3,0.0163,4,0.0239,北京良乡大学城
房山5G良乡林业局1Z,116.120508,39.725337,44,0.1622,216,0.3373,371,0.5889,500,0.8807,北京良乡大学城
房山5G良乡北关东路格林豪泰1Z,116.142183,39.734547,214,0.2129,1067,0.2824,1579,0.4538,2133,0.7361,北京良乡大学城
房山5G良乡京都百货1Z,116.135394,39.730415,318,0.1665,1377,0.2794,2175,0.4971,2753,0.7923,北京良乡大学城
房山5G良乡西路南里1Z,116.118792,39.729375,493,0.125,2666,0.2779,3999,0.5757,5554,0.9152,北京良乡大学城
房山5G良乡长虹西路营业厅1ZM,116.124154,39.722487,2,0.2054,11,0.2354,18,0.3903,24,0.6158,北京良乡大学城
房山5G良乡医院1Z,116.135498,39.735711,244,0.1033,0,0.1683,0,0,0,0,北京良乡大学城
房山5G良乡影剧院1Z,116.13482,39.73673,249,0.053,212,0.0835,355,0.1413,449,0.2258,北京良乡大学城
房山5G良乡西北关村西南1Z,116.133661,39.737805,25,0.0527,4,0.0877,5,0.1771,7,0.2923,北京良乡大学城
房山5G良乡五金化大楼1Z,116.122666,39.710195,,,916,0.2684,1723,0.43,2181,0.6985,北京良乡大学城
房山5G良乡固村南1Z,116.114425,39.738981,359,0.3488,1857,0.4338,2749,0.6407,3569,0.9859,北京良乡大学城
房山5G良乡送变电物业1Z,116.149337,39.747931,241,0.348,1079,0.393,1629,0.5382,2294,0.7547,北京良乡大学城
房山5G良乡东关家园6号楼1Z,116.143961,39.731917,,,,,243,0.1208,328,0.211,北京良乡大学城
房山5G良乡北京理工大学南校区7ZM,116.163456,39.724636,,,,,,,0,0,北京良乡大学城
房山5G良乡长虹路1Z,116.13164,39.72235,369,0.1596,1520,0.2238,2722,0.4604,3534,0.7128,北京良乡大学城
房山5G良乡中心小学1Z,116.11784,39.72339,,,,,568,0.2664,718,0.4387,北京良乡大学城
房山5G良乡东关嘉安驾校1Z,116.142563,39.729951,338,0.2465,1154,0.3927,1615,0.6537,2306,0.9112,北京良乡大学城
房山5G良乡瑞雪春堂商务楼1Z,116.143237,39.714602,235,0.0948,1194,0.2908,1989,0.6589,2486,0.9556,北京良乡大学城
房山5G良乡智汇雅苑二期5ZM,116.175041,39.734211,,,,,,,1991,0.4415,北京良乡大学城
房山5G长阳行政学校会议楼1ZM,116.172614,39.750177,,,14,0.0462,21,0.0367,30,0.0557,北京良乡大学城
