id,name,value,lng,lat
16627,石景山阜石路杨庄小区路段ZLG,125.8081806,116.188071,39.921463
16628,昌平海鶄落村南ZL,0,116.433244,40.099606
16629,昌平百泉庄西ZL,79.96822581,116.202322,40.201572
16630,昌平南农家园南ZL,111.091887,116.113469,40.200181
16631,昌平马池口小学CZL,224.174609,116.209195,40.181688
16632,昌平石油化工楼ZL,162.9326166,116.243319,40.219311
16633,昌平龙泽大厦飞箱ZL,182.508761,116.221879,40.221497
16634,昌平沙河南大桥灯杆CZL,47.67832928,116.269423,40.115043
16635,昌平马连店回迁楼CZL,229.0243717,116.338197,40.087884
16636,昌平霍营站出入口灯杆PZL,355.8292319,116.353646,40.070737
16637,昌平丽水园西侧灯杆CZL,281.9310009,116.411021,40.061461
16639,昌平龙跃苑四区PZL,92.1625966,116.343321,40.073312
16640,昌平龙锦苑东三区灯杆PZL,53.76586399,116.362126,40.081454
16641,昌平马池口交通支队ZL,243.5163035,116.225681,40.182211
16642,昌平于辛庄东南ZL,144.8699391,116.299744,40.140282
16643,昌平孟祖村北ZL,110.9802205,116.314771,40.182623
16644,昌平清秀园北区飞箱ZL,188.1366227,116.237369,40.217483
16645,昌平北环里小区飞箱ZL,178.0417842,116.223164,40.226529
16646,昌平白浮村东南CZL,56.90574496,116.245737,40.18497
16647,昌平龙德广场南CZL,142.2601921,116.407998,40.054361
16649,房山水碾屯回迁楼东南ZL,179.0670412,116.185468,39.732266
16650,房山长阳公议庄西南ZLG,47.54828668,116.191168,39.662227
16651,房山长阳新悦都7号院1号楼ZL,466.8261085,116.180876,39.769425
16652,房山良乡苏庄搬迁ZL,50.03582616,116.114071,39.727487
16653,房山蒲洼宝水民俗村东ZLG,20.28975744,115.560467,39.779878
16654,房山窦店丁各庄村东北ZLG,103.9342845,116.092111,39.642351
16655,房山长阳康泽佳苑19号楼ZL,224.1265746,116.202028,39.763679
16656,房山京昆路与石板房交叉西南ZLG,10.77896149,115.792821,39.818068
16657,房山石楼杨附马庄西ZLG,77.87495104,115.957205,39.634174
16658,房山韩村河皇后台西南ZLG,23.62034111,115.885402,39.609217
16659,房山石楼坨头桥西ZLG,104.5040643,115.973945,39.656163
16660,房山阎村焦庄村东ZLG,142.6528249,116.046765,39.722305
16661,房山韩村河孤山口村西南ZLG,35.53130428,115.855456,39.636085
16662,房山公网北柳村与前柳子村之间ZLG,28.55924772,116.164952,39.648557
16663,房山4G城关南关支行西北木桶厂1Z,89.7375089,115.973342,39.694826
16664,城三4G门头沟永定镇火化场旁2ZFD,74.55261297,116.101931,39.923276
16666,房山长阳音乐节应急车FDZL,92.5145111,116.219269,39.757971
16667,房山4G青龙湖沙窝村东1Z,87.82770737,116.036963,39.753234
16668,房山大石窝高庄局站ZLG,28.79971508,115.809594,39.574405
16669,石景山古城东街T2001小灯杆ZLG,7.63E-08,116.186228,39.914009
16670,石景山永定林宿舍4号楼ZL,0,116.181571,39.888849
16671,海淀中科院生态所西门GZL,54.50456752,116.335959,40.007705
16672,海淀中央电视台南侧,229.7661967,116.31115,39.90649
16673,海淀京西宾馆东侧,231.6666931,116.316331,39.905511
16675,海淀二河开南侧3DZLG,246.5061935,116.304058,40.013625
16677,海淀颐和园东门3DZLG,176.9356503,116.276001,39.990301
16678,海淀恩菲大厦FDZL,197.5558727,116.31556,39.90498
