id,name,lng,lat
NR18111307,朝阳垡头食糖经营公司HL,116.515043,39.863072
NR18111308,朝阳垡头西里三区HL,116.501388,39.862547
NR18111309,朝阳垡头西里一区HL,116.504457,39.865452
NR18111310,朝阳垡头中天宏大HL,116.508874,39.852785
NR18111316,朝阳方家村HL,116.512,39.8944
NR18111318,朝阳方家村文体活动站东HLG,116.517777,39.897222
NR18111325,朝阳分钟寺地铁站南HLG,116.4475,39.848611
NR18111326,朝阳分钟寺龙爪树HLG,116.449591,39.844898
NR18111327,朝阳分钟寺桥HLG,116.447222,39.861112
NR18111328,朝阳分钟寺桥北侧HLG,116.448055,39.862777
NR18111329,朝阳丰和园西南HLG,116.436787,39.971579
NR18111331,朝阳服装学院北HLG,116.421246,39.974197
NR18111332,朝阳服装学院东HLG,116.428298,39.973388
NR18111333,朝阳福寿公寓HLG,116.476388,39.850277
NR18111335,朝阳富成花园HLG,116.431362,39.992452
NR18111339,朝阳富力城C区HL,116.451846,39.894593
NR18111340,朝阳富力城D11楼HL,116.448643,39.895505
NR18111341,朝阳富力城D1楼HL,116.448965,39.892939
NR18111342,朝阳富力城D33楼HL,116.445582,39.894872
NR18111343,朝阳富力城D区55号楼HL,116.444611,39.892796
NR18111344,朝阳甘露西园1号楼HL,116.501976,39.914181
NR18111346,朝阳甘露园南里HL,116.505264,39.914257
NR18111347,朝阳甘露园南里东HLG,116.512842,39.917789
NR18111348,朝阳甘露园南里一区3号楼HL,116.50931,39.914017
NR18111351,朝阳干杨树甲16号院2号楼HL,116.413176,39.989954
NR18111353,朝阳高碑店电话局HL,116.514584,39.910976
NR18111372,朝阳高力灯具港HL,116.459444,39.860555
NR18111375,朝阳高升宾馆HL,116.465893,39.857174
NR18111376,朝阳高西店村南HL,116.515445,39.901674
NR18111377,朝阳高西店村西北HLG,116.511666,39.904444
NR18122207,朝阳高源街HL,116.422,39.9867
NR18111380,朝阳格林豪泰劲松店HL,116.440671,39.877345
NR18111381,朝阳工大桥HLG,116.485306,39.874668
NR18111382,朝阳工大医院东北HL,116.479521,39.879461
NR18111384,朝阳工体场北广场东HLG,116.441576,39.931163
NR18111386,朝阳工体场东北分裂1HL,116.444877,39.931345
NR18111388,朝阳工体场西南NL,116.439072,39.927537
NR18111389,朝阳工体东路14号院3号楼HL,116.445786,39.925569
NR18111410,朝阳供电HL,116.431062,39.926611
NR18111417,朝阳观鑫市场HL,116.499,39.8726
NR18111419,朝阳观音惠园HLG,116.51299,39.88717
NR18111420,朝阳观音惠园北HLG,116.517692,39.888618
NR18111429,朝阳官庄东HLG,116.509377,39.878162
NR18111430,朝阳官庄路HLG,116.501976,39.878693
NR18111431,朝阳官庄窑洼村东HLG,116.492096,39.881462
NR18111432,朝阳光华里小区14号楼HL,116.449085,39.910345
NR18122324,朝阳光华路北2号楼HL,116.461,39.9127
NR18111433,朝阳光华木材厂HL,116.441284,39.898074
NR18111434,朝阳光辉里10号楼HL,116.470652,39.908077
NR18111435,朝阳光明桥欣燕都酒店HL,116.440308,39.882874
NR18111439,朝阳广和南里二条HL,116.444286,39.884364
NR18111440,朝阳广渠路5号院共联通HLG,116.507912,39.888382
NR18111441,朝阳广渠路陈经纶中学HL,116.474434,39.886722
NR18111442,朝阳广渠路储运公司HLG,116.502955,39.887821
NR18111443,朝阳广渠路加油站HLG,116.506439,39.891235
NR18111444,朝阳广渠路竟园HL,116.505555,39.894444
NR18111446,朝阳广渠路首城国际HLG,116.462978,39.891714
NR18111447,朝阳广渠路与高碑店路交口HLG,116.519354,39.891594
NR18111448,朝阳广渠门外大街HL,116.451,39.8928
NR18111449,朝阳广泉物业部HL,116.445583,39.890496
NR18111454,朝阳贵友大厦HLG,116.444229,39.907772
NR18111455,朝阳贵州大厦HL,116.412096,39.968369
NR18111457,朝阳国安水厂HLG,116.46681,39.84519
NR18111458,朝阳国奥村D区北HLG,116.377181,40.008552
NR18111460,朝阳国奥村东北角HL,116.380452,40.008236
NR18111462,朝阳国粹苑HL,116.502664,39.90273
NR18111468,朝阳国峰置业东侧NLG,116.449166,39.936666
NR18111469,朝阳国航大厦西北HLG,116.455184,39.955685
NR18111470,朝阳国恒基业大厦HL,116.380555,39.975833
NR18111472,朝阳国际村三期NL,116.446092,39.967908
NR18111474,朝阳国贸桥HL,116.456886,39.907769
NR18111477,朝阳国贸桥北HL,116.455338,39.910294
NR18111476,朝阳国贸桥西南HL,116.454584,39.906546
NR18122271,朝阳国门大厦HL,116.443,39.9572
