name,lng,lat,9M5g_yonghushu,9M5g_liuliang,9M4g_liuliang,9MSite_zhuliubi,9M_fugailv,9M_tousu,12M5g_yonghushu,12M5g_liuliang,12M4g_liuliang,12MSite_zhuliubi,12M_fugailv,12M_tousu,归属区域名称,
顺义5G金街5HM,116.646359,40.126649,0,0,241.62,0.0000 ,,,0,0,10.26164192,0.0000 ,0.9910 ,,,
顺义5G金街1HM,116.64635,40.12664,0,0,241.62,0.0000 ,,,0,0,10.26164192,0.0000 ,0.9900 ,,,
顺义5G金街2HM,116.64635,40.12664,0,0,241.62,0.0000 ,,,0,0,10.26164192,0.0000 ,0.9900 ,,,
顺义5G中医医院1HM,116.648189,40.126562,38,3.12,75.38,0.0397 ,0.9905 ,,86,1.05,3.674678326,0.2220 ,1.0000 ,,,
昌平5G南一村北1Z,116.25466,40.12611,9285,6.18,8.36,0.4252 ,0.9905 ,,14627,74.23,1.400874799,0.9810 ,0.9940 ,,,
昌平5G阳坊六环1Z,116.155344,40.125571,0,0,3.64,0.0000 ,,,0,0,1.667222258,0.0000 ,0.9800 ,,,
顺义5G隆华商场1HM,116.644492,40.125454,120,1.99,130.37,0.0151 ,0.9985 ,,167,1.24,5.193299897,0.1930 ,0.9990 ,,,
城三5G海淀梅所屯村1Z,116.220473,40.124829,0,0,0.07,0.0000 ,,,0,0,0.273800267,0.0000 ,0.8760 ,,,
城三5G海淀后章村西南1Z,116.174411,40.124649,0,0,0.1,0.0000 ,,,523,28.43,0.024253702,0.9990 ,0.9880 ,,,
城三5G海淀前章村东北1Z,116.179836,40.124275,1040,5.87,0.15,0.9747 ,0.9955 ,,1110,26.82,0.508331827,0.9810 ,0.9660 ,,,
昌平5G东沙各庄西1Z,116.383738,40.124203,835,43.42,13.85,0.7581 ,0.9914 ,,0,0,0.591831008,0.0000 ,1.0000 ,,,
顺义5G胜利街道新顺南大街15号北京农商银行1HM,116.64475,40.12406,0,0,173.66,0.0000 ,1.0000 ,,22,0.21,8.433437902,0.0240 ,0.9950 ,,,
城三5G海淀前沙涧北路二1Z,116.140291,40.123958,0,0,5.1,0.0000 ,,,0,0,1.54222407,0.0000 ,0.9910 ,,,
昌平5G普罗旺斯西北1Z,116.438805,40.123532,1,0.85,3.72,0.1850 ,,,1,0.93,0.248970641,0.7890 ,0.9870 ,,,
顺义5G顺丰速运1HM,116.586887,40.123004,0,0,23.82,0.0000 ,,,0,0,2.275212903,0.0000 ,1.0000 ,,,
昌平5G沙河医院1Z,116.269231,40.122695,1583,1.53,2.65,0.3656 ,0.9587 ,,3836,57.14,0.621438131,0.9890 ,0.9940 ,,,
城三5G海淀看守所北门北1Z,116.146979,40.122567,0,0,0.09,0.0000 ,,,0,0,0.11885922,0.0000 ,0.9900 ,,,
顺义5G新华联丽景温泉酒店1HM,116.754063,40.121997,0,0,14.31,0.0000 ,,,0,0,1.130244741,0.0000 ,0.9460 ,,,
顺义5G新华联丽景温泉酒店2HM,116.754063,40.121997,0,0,14.31,0.0000 ,,,0,0,1.130244741,0.0000 ,0.9750 ,,,
城三5G海淀东小营村北侧1Z,116.199844,40.121864,757,11.18,2.41,0.8228 ,0.9905 ,,8,12.3,2.475675024,0.8320 ,0.9820 ,,,
昌平5G福田宿舍楼1Z,116.248531,40.121595,696,3.39,3.92,0.4636 ,0.9967 ,,5743,26.79,2.618274614,0.9110 ,1.0000 ,,,
昌平5G北汽福田研究院1ZM,116.242736,40.121461,1829,0.83,7.71,0.0970 ,,,285,9.63,8.1227086,0.5420 ,0.9910 ,,,
昌平5G北汽福田研究院2ZM,116.242736,40.121461,14,0.7,7.71,0.0830 ,0.9977 ,,1267,102.72,8.1227086,0.9270 ,1.0000 ,,,
城三5G海淀东小营1Z,116.20374,40.12137,734,0.03,0.03,0.5498 ,0.9904 ,,1,0.03,0.727368332,0.0460 ,1.0000 ,,,
